model_name,model_id,vendor,context_length,input_price_usd_per_m,output_price_usd_per_m,avg_cost,quadrant,value_score,description
OpenAI: GPT-5,openai/gpt-5,openai,400000,1.25,10.0,5.625,High Cost / High Context,71111.11111111111,"GPT-5 is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and accuracy in high-stakes use cases. It supports test-time routing features and advanced prompt understanding, including user-specified intent like ""think hard about this."" Improvements include reductions in hallucination, sycophancy, and better performance in coding, writing, and health-related tasks."
OpenAI: GPT-5 Codex,openai/gpt-5-codex,openai,400000,1.25,10.0,5.625,High Cost / High Context,71111.11111111111,"GPT-5-Codex is a specialized version of GPT-5 optimized for software engineering and coding workflows. It is designed for both interactive development sessions and long, independent execution of complex engineering tasks. The model supports building projects from scratch, feature development, debugging, large-scale refactoring, and code review. Compared to GPT-5, Codex is more steerable, adheres closely to developer instructions, and produces cleaner, higher-quality code outputs. Reasoning effort can be adjusted with the `reasoning.effort` parameter. Read the [docs here](https://openrouter.ai/docs/use-cases/reasoning-tokens#reasoning-effort-level)  Codex integrates into developer environments including the CLI, IDE extensions, GitHub, and cloud tasks. It adapts reasoning effort dynamically—providing fast responses for small tasks while sustaining extended multi-hour runs for large projects. The model is trained to perform structured code reviews, catching critical flaws by reasoning over dependencies and validating behavior against tests. It also supports multimodal inputs such as images or screenshots for UI development and integrates tool use for search, dependency installation, and environment setup. Codex is intended specifically for agentic coding applications."
Anthropic: Claude Haiku 4.5,anthropic/claude-haiku-4.5,anthropic,200000,1.0,5.0,3.0,High Cost / High Context,66666.66666666667,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s performance across reasoning, coding, and computer-use tasks, Haiku 4.5 brings frontier-level capability to real-time and high-volume applications.  It introduces extended thinking to the Haiku line; enabling controllable reasoning depth, summarized or interleaved thought output, and tool-assisted workflows with full support for coding, bash, web search, and computer-use tools. Scoring >73% on SWE-bench Verified, Haiku 4.5 ranks among the world’s best coding models while maintaining exceptional responsiveness for sub-agents, parallelized execution, and scaled deployment."
Qwen: Qwen VL Max,qwen/qwen-vl-max,qwen,131072,0.8,3.2,2.0,High Cost / High Context,65536.0,Qwen VL Max is a visual understanding model with 7500 tokens context length. It excels in delivering optimal performance for a broader spectrum of complex tasks. 
OpenAI: Codex Mini,openai/codex-mini,openai,200000,1.5,6.0,3.75,High Cost / High Context,53333.333333333336,"codex-mini-latest is a fine-tuned version of o4-mini specifically for use in Codex CLI. For direct use in the API, we recommend starting with gpt-4.1."
AI21: Jamba Large 1.7,ai21/jamba-large-1.7,ai21,256000,2.0,8.0,5.0,High Cost / High Context,51200.0,"Jamba Large 1.7 is the latest model in the Jamba open family, offering improvements in grounding, instruction-following, and overall efficiency. Built on a hybrid SSM-Transformer architecture with a 256K context window, it delivers more accurate, contextually grounded responses and better steerability than previous versions."
OpenAI: o3,openai/o3,openai,200000,2.0,8.0,5.0,High Cost / High Context,40000.0,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, coding, and visual reasoning tasks. It also excels at technical writing and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images. "
OpenAI: GPT-5 Image,openai/gpt-5-image,openai,400000,10.0,10.0,10.0,High Cost / High Context,40000.0,"[GPT-5](https://openrouter.ai/openai/gpt-5) Image combines OpenAI's most advanced language model with state-of-the-art image generation capabilities. It offers major improvements in reasoning, code quality, and user experience while incorporating GPT Image 1's superior instruction following, text rendering, and detailed image editing."
OpenAI: o4 Mini Deep Research,openai/o4-mini-deep-research,openai,200000,2.0,8.0,5.0,High Cost / High Context,40000.0,"o4-mini-deep-research is OpenAI's faster, more affordable deep research model—ideal for tackling complex, multi-step research tasks.  Note: This model always uses the 'web_search' tool which adds additional cost."
Mistral Large 2407,mistralai/mistral-large-2407,mistralai,131072,2.0,6.0,4.0,High Cost / High Context,32768.0,"This is Mistral AI's flagship model, Mistral Large 2 (version mistral-large-2407). It's a proprietary weights-available model and excels at reasoning, code, JSON, chat, and more. Read the launch announcement [here](https://mistral.ai/news/mistral-large-2407/).  It supports dozens of languages including French, German, Spanish, Italian, Portuguese, Arabic, Hindi, Russian, Chinese, Japanese, and Korean, along with 80+ coding languages including Python, Java, C, C++, JavaScript, and Bash. Its long context window allows precise information recall from large documents. "
Mistral: Pixtral Large 2411,mistralai/pixtral-large-2411,mistralai,131072,2.0,6.0,4.0,High Cost / High Context,32768.0,"Pixtral Large is a 124B parameter, open-weight, multimodal model built on top of [Mistral Large 2](/mistralai/mistral-large-2411). The model is able to understand documents, charts and natural images.  The model is available under the Mistral Research License (MRL) for research and educational use, and the Mistral Commercial License for experimentation, testing, and production for commercial purposes.  "
Mistral Large 2411,mistralai/mistral-large-2411,mistralai,131072,2.0,6.0,4.0,High Cost / High Context,32768.0,"Mistral Large 2 2411 is an update of [Mistral Large 2](/mistralai/mistral-large) released together with [Pixtral Large 2411](/mistralai/pixtral-large-2411)  It provides a significant upgrade on the previous [Mistral Large 24.07](/mistralai/mistral-large-2407), with notable improvements in long context understanding, a new system prompt, and more accurate function calling."
xAI: Grok 4,x-ai/grok-4,x-ai,256000,3.0,15.0,9.0,High Cost / High Context,28444.444444444445,"Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling, structured outputs, and both image and text inputs. Note that reasoning is not exposed, reasoning cannot be disabled, and the reasoning effort cannot be specified. Pricing increases once the total tokens in a given request is greater than 128k tokens. See more details on the [xAI docs](https://docs.x.ai/docs/models/grok-4-0709)"
Anthropic: Claude 3.5 Sonnet (2024-06-20),anthropic/claude-3.5-sonnet-20240620,anthropic,200000,3.0,15.0,9.0,High Cost / High Context,22222.222222222223,"Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:  - Coding: Autonomously writes, edits, and runs code with reasoning and troubleshooting - Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights - Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone - Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)  For the latest version (2024-10-23), check out [Claude 3.5 Sonnet](/anthropic/claude-3.5-sonnet).  #multimodal"
Anthropic: Claude 3.7 Sonnet (thinking),anthropic/claude-3.7-sonnet:thinking,anthropic,200000,3.0,15.0,9.0,High Cost / High Context,22222.222222222223,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes.   Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.  Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)"
Anthropic: Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet,anthropic,200000,3.0,15.0,9.0,High Cost / High Context,22222.222222222223,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:  - Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding - Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights - Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone - Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)  #multimodal"
Anthropic: Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,anthropic,200000,3.0,15.0,9.0,High Cost / High Context,22222.222222222223,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes.   Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.  Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)"
xAI: Grok 3 Beta,x-ai/grok-3-beta,x-ai,131072,3.0,15.0,9.0,High Cost / High Context,14563.555555555555,"Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science.  Excels in structured tasks and benchmarks like GPQA, LCB, and MMLU-Pro where it outperforms Grok 3 Mini even on high thinking.   Note: That there are two xAI endpoints for this model. By default when using this model we will always route you to the base endpoint. If you want the fast endpoint you can add `provider: { sort: throughput}`, to sort by throughput instead.  "
xAI: Grok 3,x-ai/grok-3,x-ai,131072,3.0,15.0,9.0,High Cost / High Context,14563.555555555555,"Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science.  "
OpenAI: o3 Deep Research,openai/o3-deep-research,openai,200000,10.0,40.0,25.0,High Cost / High Context,8000.0,"o3-deep-research is OpenAI's advanced model for deep research, designed to tackle complex, multi-step research tasks.  Note: This model always uses the 'web_search' tool which adds additional cost."
OpenAI: GPT-5 Pro,openai/gpt-5-pro,openai,400000,15.0,120.0,67.5,High Cost / High Context,5925.925925925926,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and accuracy in high-stakes use cases. It supports test-time routing features and advanced prompt understanding, including user-specified intent like ""think hard about this."" Improvements include reductions in hallucination, sycophancy, and better performance in coding, writing, and health-related tasks."
OpenAI: o1,openai/o1,openai,200000,15.0,60.0,37.5,High Cost / High Context,5333.333333333333,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding. The o1 model series is trained with large-scale reinforcement learning to reason using chain of thought.   The o1 models are optimized for math, science, programming, and other STEM-related tasks. They consistently exhibit PhD-level accuracy on benchmarks in physics, chemistry, and biology. Learn more in the [launch announcement](https://openai.com/o1). "
Anthropic: Claude Opus 4,anthropic/claude-opus-4,anthropic,200000,15.0,75.0,45.0,High Cost / High Context,4444.444444444444,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without degradation.   Read more at the [blog post here](https://www.anthropic.com/news/claude-4)"
Anthropic: Claude Opus 4.1,anthropic/claude-opus-4.1,anthropic,200000,15.0,75.0,45.0,High Cost / High Context,4444.444444444444,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance in coding, reasoning, and agentic tasks. It achieves 74.5% on SWE-bench Verified and shows notable gains in multi-file code refactoring, debugging precision, and detail-oriented reasoning. The model supports extended thinking up to 64K tokens and is optimized for tasks involving research, data analysis, and tool-assisted reasoning."
Anthropic: Claude 3 Opus,anthropic/claude-3-opus,anthropic,200000,15.0,75.0,45.0,High Cost / High Context,4444.444444444444,"Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It boasts top-level performance, intelligence, fluency, and understanding.  See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)  #multimodal"
OpenAI: o3 Pro,openai/o3-pro,openai,200000,20.0,80.0,50.0,High Cost / High Context,4000.0,The o-series of models are trained with reinforcement learning to think before they answer and perform complex reasoning. The o3-pro model uses more compute to think harder and provide consistently better answers.  Note that BYOK is required for this model. Set up here: https://openrouter.ai/settings/integrations
